"Data Source","Human Capital Index",

"Last Updated Date","2020-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Afghanistan","AFG","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.389","0.393489241600037","","0.400284141302109",
"Angola","AGO","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.361","0.360190957784653","","0.362405389547348",
"Albania","ALB","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.54360294342041","","","","","","","0.621","0.628666281700134","","0.634250938892365",
"Andorra","AND","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"United Arab Emirates","ARE","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.621274054050446","","","","","","","0.659","0.676001250743866","","0.673011898994446",
"Argentina","ARG","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.588557064533234","","","","","","","0.611","0.61736673116684","","0.602144718170166",
"Armenia","ARM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.572","0.58172595500946","","0.578998804092407",
"American Samoa","ASM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","0.578216969966888","","0.595703899860382",
"Australia","AUS","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.754843771457672","","","","","","","0.803","0.780833959579468","","0.770239531993866",
"Austria","AUT","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.737782120704651","","","","","","","0.793","0.768673121929169","","0.746739745140076",
"Azerbaijan","AZE","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.497457385063171","","","","","","","0.597","0.62931215763092","","0.577767550945282",
"Burundi","BDI","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.342875510454178","","","","","","","0.38","0.38957479596138","","0.386170625686646",
"Belgium","BEL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.752726852893829","","","","","","","0.757","0.762759745121002","","0.76041966676712",
"Benin","BEN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.365584790706635","","","","","","","0.406","0.396950334310532","","0.400290727615356",
"Burkina Faso","BFA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.319721281528473","","","","","","","0.369","0.378283977508545","","0.383691936731339",
"Bangladesh","BGD","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.479","0.458553284406662","","0.46403643488884",
"Bulgaria","BGR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.63661926984787","","","","","","","0.676","0.670277237892151","","0.613898158073425",
"Bahrain","BHR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.604912281036377","","","","","","","0.668","0.663898766040802","","0.652472019195557",
"Bahamas, The","BHS","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.618","0.619265019893646","","0.57968407869339",
"Belarus","BLR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","0.700078189373016",
"Belize","BLZ","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Bermuda","BMU","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Bolivia","BOL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Brazil","BRA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.532952487468719","","","","","","","0.56","0.545723736286163","","0.551497936248779",
"Barbados","BRB","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Brunei Darussalam","BRN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","0.626391351222992",
"Bhutan","BTN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","0.475297033786774",
"Botswana","BWA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.367712110280991","","","","","","","0.424","0.412516504526138","","0.414028495550156",
"Central African Republic","CAF","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","0.291631907224655",
"Canada","CAN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.774103760719299","","","","","","","0.799","0.800089955329895","","0.797520101070404",
"Switzerland","CHE","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.768143713474274","","","","","","","0.767","0.766107618808746","","0.756115138530731",
"Channel Islands","CHI","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Chile","CHL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.62635999917984","","","","","","","0.674","0.665265142917633","","0.651604175567627",
"China","CHN","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.673","0.64709883928299","","0.65310263633728",
"Cote d'Ivoire","CIV","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.303838104009628","","","","","","","0.353","0.369968354701996","","0.379889339208603",
"Cameroon","CMR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.379782944917679","","","","","","","0.394","0.393320679664612","","0.397401511669159",
"Congo, Dem. Rep.","COD","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.369","0.364528745412826","","0.366369277238846",
"Congo, Rep.","COG","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.409271746873856","","","","","","","0.42","0.417835533618927","","0.41926571726799",
"Colombia","COL","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.580249488353729","","","","","","","0.593","0.598653852939606","","0.60433030128479",
"Comoros","COM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","0.409","0.400950133800507","","0.40468829870224",
"Cabo Verde","CPV","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
"Costa Rica","CRI","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.597758889198303","","","","","","","0.619","0.603258788585663","","0.628635048866272",
"Cuba","CUB","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","","","","","","","","","","","",
